dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
1283,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,West;East,6.5,,2.0,4.5,2011-11-22,,2007,2679.5,2679.5,,,,, , ,yes, ,yes, ,,2014-09-15 09:15:33-05,2016-10-04 22:59:09-05,2012-04-11 18:58:20-05,2019-04-18 17:41:02.682089-05,2012-05-01 13:00:00-05,2019-04-04 18:57:00-05,2012-05-02 19:00:00-05,2019-03-20 02:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
1415,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,South;West,3.885,1.85,2.035,,2011-11-22,,2008,1720.0,1720.0,0.0,0.0,0.0,0.0, , ,yes, ,yes,yes,1,,,2012-04-11 18:54:17-05,2019-04-18 18:51:33.092497-05,,,2014-07-15 00:00:00-05,2018-06-19 02:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,,yes,,yes,,yes,,yes,,,yes,,yes,,,,,,,,yes,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,
1792,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,6.25,4.0,2.25,,2011-11-22,,2008,2001.0,1435.0,566.0,0.0,0.0,, , , , , ,yes,2,,,2012-04-11 18:59:23-05,2019-04-18 13:38:19.408373-05,,,2012-05-02 19:00:00-05,2019-03-18 02:37:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,yes,Town Home,,,yes,,,,,Austin,Texas,yes,South,4.75,4.75,0.0,,2011-11-22,,2008,1576.0,778.0,798.0,0.0,0.0,, , ,yes, , , ,2,,,2012-07-05 16:17:38-05,2019-04-18 15:31:55.578374-05,2012-05-01 18:00:00-05,2015-09-20 12:54:00-05,2012-05-02 19:00:00-05,2016-06-21 04:59:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,yes,Single-Family Home,,,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South,3.5,3.5,0.0,,2011-11-22,,2008,1544.0,1096.0,448.0,0.0,0.0,0.0, ,yes,yes, ,yes, ,,2014-04-09 01:34:19-05,2016-02-14 10:59:01-06,2012-04-11 18:59:57-05,2019-04-18 16:05:45.821097-05,,,2012-07-19 14:42:00-05,2019-02-25 02:59:00-06,yes,yes,yes,yes,,,,,,,yes,,,,,yes,yes,,yes,,yes,,yes,,,yes,,yes,,,,,,,,yes,yes,yes,,,,,,yes,,,,yes,,,,,,,,,,yes,,,,yes,,,,,
2792,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,,,,,,2011-11-22,,2008,3249.0,,,,,, , ,yes, ,yes,yes,,,,2012-04-11 18:58:47-05,2019-03-27 08:22:55.361746-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,South;East,6.105,4.07,0.0,2.035,2011-11-22,,2010,2293.5,2293.5,,,,, , , , ,yes, ,,,,2012-04-11 18:54:33-05,2019-04-07 06:08:25.678523-05,2015-12-03 00:00:00-06,2017-03-20 09:53:00-05,2012-05-15 19:00:00-05,2019-02-26 02:41:00-06,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South;West,5.145,2.94,2.205,,2011-11-22,,2009,1556.0,1556.0,0.0,0.0,0.0,0.0, , ,yes, , , ,,,,2012-04-11 18:59:29-05,2019-04-18 17:03:55.084813-05,,,2012-05-02 19:00:00-05,2019-03-18 02:46:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South;West,6.25,4.0,2.25,,2011-11-22,,2008,2310.0,,,,,, , ,yes,yes,yes,yes,,,,2012-04-11 18:59:53-05,2013-05-10 16:26:42-05,,,2012-05-15 19:00:00-05,2019-03-02 02:43:00-06,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,South;West,6.25,2.25,4.0,,2011-11-22,,2008,1240.0,,,,,, , ,yes,yes, , ,,,,2012-04-11 18:59:32-05,2019-04-04 06:29:17.939252-05,,,2012-09-17 19:00:00-05,2019-03-18 02:39:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
