dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
2836,,Single-Family Home,,,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2011-03-19,1994,2796.0,1476.0,1320.0,0.0,,, , , , ,yes, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,,Single-Family Home,,,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2011-09-01,1949,1590.0,1590.0,0.0,0.0,,, , ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2011-11-29,2008,1185.0,602.0,583.0,0.0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8560,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2012-02-01,2009,2001.0,1435.0,566.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2012-04-30,2007,2001.0,1435.0,566.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2012-08-30,2008,1185.0,602.0,583.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3936,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2012-08-31,2007,2134.0,1162.0,972.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,,Town Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2012-10-01,2008,1576.0,778.0,798.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,South,5.25,5.25,0.0,,2011-02-01,2013-01-07,2007,2122.0,1162.0,960.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:06-05,2013-01-06 17:58:33-06,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,,,,,,2011-02-01,2013-04-02,2007,1422.0,1422.0,0.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-12 13:12:24-05,2013-04-01 18:38:24-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,South;West,6.25,3.0,3.25,,2011-02-01,2013-04-27,2008,2649.0,1639.0,1010.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8872,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South;West,5.5,,3.25,,2011-02-01,2013-06-10,2008,1422.0,1422.0,0.0,0.0,,,yes, ,yes,yes, , ,,,,,,,,2012-05-02 01:00:00-05,2013-06-10 00:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1464,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South;West,3.3,1.65,1.65,,2011-02-01,2014-03-06,2007,2345.0,1385.0,960.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-13 09:26:26-05,2014-02-06 23:53:33-06,2012-05-01 13:00:00-05,2014-02-06 23:58:03-06,2012-10-19 19:00:00-05,2014-03-05 17:59:00-06,yes,yes,yes,yes,,,,,,,yes,yes,yes,,,,yes,,,,yes,yes,,yes,,,,,,,,,,,,yes,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,yes,,yes,,,,,
3824,,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,6.37,,3.185,,2011-02-01,2014-04-01,2009,2001.0,1435.0,566.0,0.0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,,,,,,2011-02-01,2014-04-07,2008,3249.0,1532.0,1717.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:58-05,2013-05-10 16:29:46-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,,,,,,2011-02-01,2014-04-07,2009,3245.0,1779.0,1466.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:52-05,2013-05-10 16:26:10-05,,,2013-04-16 00:00:00-05,2014-04-06 18:56:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
5839,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,,7.0,,,,2011-02-01,2014-04-30,2009,2068.0,1036.0,1032.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:53-05,2013-05-10 16:29:18-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,,,,,,2011-02-01,2014-05-01,2007,3249.0,1532.0,1717.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-11 18:59:03-05,2013-05-10 16:22:47-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8597,,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,West,5.635,,5.635,,2011-02-01,2014-10-31,2008,2122.0,1162.0,960.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:53-05,2013-05-10 16:28:22-05,,,2012-10-26 19:00:00-05,2014-10-21 18:59:00-05,yes,yes,yes,yes,,,,,,,yes,,,,,,yes,,yes,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,
7982,,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,3.885,1.295,2.59,,2011-02-01,2014-11-15,2007,1720.0,1720.0,0.0,0.0,,,yes,yes,yes, ,yes, ,,2014-02-21 11:04:54-06,2014-11-14 14:59:01-06,2012-04-11 18:59:57-05,2014-11-14 23:59:42-06,2012-05-01 13:00:00-05,2014-11-14 23:56:22.783059-06,2013-02-22 18:00:00-06,2014-11-13 17:59:00-06,yes,yes,yes,yes,,,,,,,yes,,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,yes,,yes,,,
7057,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2015-02-13,2009,1720.0,1720.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:59:45-05,2015-01-31 12:56:35-06,,,2014-06-06 19:00:00-05,2015-01-09 17:59:00-06,yes,yes,,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,yes,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,yes,,yes,,,
3192,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,6.105,4.07,2.035,,2011-02-01,2016-07-29,2008,2075.0,2075.0,0.0,0.0,,,yes,yes,yes, , , ,,,,2012-04-11 18:59:39-05,2013-05-10 16:29:25-05,2016-01-17 00:00:00-06,2016-07-26 06:16:00-05,2012-05-22 01:00:00-05,2016-07-17 05:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
1790,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South;West,6.37,3.43,2.94,,2011-02-01,2017-02-21,2008,3023.0,1473.0,1550.0,0.0,,,yes, ,yes,yes,yes, ,,,,2012-04-11 18:59:20-05,2017-02-20 23:47:39-06,,,2014-05-02 00:00:00-05,2017-02-20 23:59:00-06,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2017-08-15,2008,2122.0,1162.0,960.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:13-05,2017-08-14 20:26:24-05,,,2014-05-30 00:00:00-05,2017-06-29 05:59:00-05,yes,yes,,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
8890,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,5.64,3.525,2.115,0.0,2011-02-01,2017-09-22,2008,2194.0,1423.0,771.0,0.0,0.0,0.0,yes, ,yes, , , ,,2014-09-30 09:52:36-05,2016-03-04 14:59:01-06,2012-04-11 18:57:35-05,2017-09-21 23:39:04-05,2012-05-01 13:00:00-05,2015-10-28 23:55:00-05,2012-05-02 19:00:00-05,2016-03-04 02:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6830,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2017-09-27,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:53-05,2017-09-26 23:19:37-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South,6.25,6.25,0.0,,2011-02-01,2017-10-17,2008,1439.0,1439.0,0.0,0.0,,,yes, ,yes,yes, ,yes,,,,2012-04-11 18:57:46-05,2017-10-15 11:59:12-05,,,2012-11-09 00:00:00-06,2017-10-10 06:36:00-05,yes,yes,yes,yes,,,,,,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,
5785,,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,South;West,6.37,1.96,4.41,,2011-02-01,2018-02-20,2007,1842.0,1379.0,463.0,0.0,,,yes, ,yes, ,yes, ,,2015-03-27 15:00:01-05,2015-04-02 06:59:01-05,2012-04-11 18:59:44-05,2018-02-12 19:10:30-06,2012-07-10 13:00:00-05,2015-10-28 23:52:00-05,2012-05-02 19:00:00-05,2017-09-22 03:31:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,West,4.5,,4.5,,2011-02-01,2018-08-22,2008,1185.0,602.0,583.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-13 07:43:12-05,2018-08-19 23:40:03.86474-05,,,2012-05-02 19:00:00-05,2015-03-31 09:59:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,9.99,4.995,4.995,,2011-02-01,2019-01-22,2008,2075.0,2075.0,0.0,0.0,,,yes, , ,yes,yes,yes,,,,2012-04-11 18:59:23-05,2018-07-27 20:23:46.003458-05,,,2012-12-11 18:00:00-06,2018-12-26 04:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
5193,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,2019-03-08,2008,2001.0,1435.0,566.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:58:45-05,2019-03-06 17:59:11.53315-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,West,3.33,0.0,3.33,0.0,2011-02-01,,2009,1439.0,1439.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:37-05,2019-04-04 09:00:37.727149-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,,2008,1240.0,620.0,620.0,0.0,,,yes, , , , ,yes,,,,2012-04-11 18:59:59-05,2019-04-18 17:34:47.030292-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,,3.5,,,,2011-02-01,,2008,1842.0,1379.0,463.0,0.0,,,yes,yes,yes,yes, ,yes,,,,2012-04-11 18:59:25-05,2018-02-07 21:09:13.879394-06,,,2013-10-15 19:00:00-05,2019-02-25 02:59:00-06,yes,yes,yes,yes,,,,,yes,,yes,yes,,,,yes,yes,,,,yes,,yes,,,yes,,,,,,,,,,yes,yes,yes,,,,,,yes,,yes,,,,,,,,,,,,yes,,,,,,,,,
370,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,6.105,2.035,4.07,,2011-02-01,,2007,2680.0,2680.0,0.0,0.0,,,yes,yes,yes, ,yes, ,,,,2012-04-11 18:58:33-05,2019-04-18 16:37:28.663671-05,,,2012-07-11 00:00:00-05,2019-03-04 02:59:00-06,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,yes,yes,yes,,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,yes,,,,yes,yes,yes,,,,,,,,,,,yes,yes,,yes,,,,,,,
545,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,3.15,1.4,1.75,,2011-02-01,,2007,2345.0,1385.0,960.0,0.0,,,yes,yes,yes, ,yes,yes,,,,2012-04-12 18:33:48-05,2016-01-26 10:42:51-06,,,2012-08-12 19:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,,,,
585,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,West,4.995,,4.995,,2011-02-01,,2008,1720.0,1720.0,0.0,0.0,,,yes, , ,yes, , ,,,,2012-04-11 18:59:05-05,2019-04-18 18:57:45.689019-05,,,2012-01-01 00:00:00-06,2017-12-31 17:59:00-06,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,South,6.3,6.3,,,2011-02-01,,2007,1842.0,1379.0,463.0,0.0,,,yes, ,yes, ,yes,yes,,,,2012-05-25 06:30:18-05,2017-09-21 22:03:00-05,2015-08-20 13:20:00-05,2018-08-16 23:59:00-05,2013-09-07 19:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,
744,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,South,5.92,5.92,0.0,,2011-02-01,,,2351.0,,,,,,yes, ,yes, , , ,,,,2012-04-11 18:58:50-05,2019-04-18 18:37:06.344258-05,,,2012-01-01 00:00:00-06,2019-02-25 02:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
964,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,,2008,2919.0,1401.0,1518.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:55:35-05,2013-05-10 14:55:50-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,7.215,4.995,2.22,,2011-02-01,,2007,2122.0,1162.0,960.0,0.0,,,yes,yes,yes, , ,yes,2,,,2012-04-11 18:41:43-05,2019-04-18 18:58:59.142262-05,2012-05-01 12:00:00-05,2019-01-25 23:24:00-06,2012-05-22 19:00:00-05,2019-03-14 02:46:00-05,yes,yes,yes,yes,yes,,,,yes,,yes,yes,,,,yes,yes,,,,yes,yes,yes,yes,,yes,,yes,,yes,,,,yes,yes,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,yes,,,yes,,,,,
1192,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,South;West,6.25,3.25,3.0,,2011-02-01,,2008,2122.0,1162.0,960.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:48-05,2013-05-10 16:29:20-05,2015-08-20 14:20:00-05,2018-08-22 16:25:00-05,2012-09-17 19:00:00-05,2019-03-18 02:36:00-05,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1463,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,,,,,,2011-02-01,,2007,2236.0,793.0,1443.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:04:44-05,2017-01-08 07:14:46-06,,,2014-05-09 00:00:00-05,2018-06-30 23:59:00-05,yes,yes,,yes,,,,,,,yes,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,yes,,yes,,,,,
1642,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South;West,6.37,3.43,2.94,,2011-02-01,,2007,1720.0,1720.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-11-17 17:54:40-06,2016-01-26 11:27:09-06,,,2012-05-11 19:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,,,,yes,,,yes,yes,yes,yes,,,,,yes,,yes,,,,yes,,,,,,,yes,yes,,,,,,,,,
1718,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,South;West,5.88,2.45,3.43,,2011-02-01,,2008,2710.0,1508.0,1202.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:16:55-05,2019-04-18 18:34:20.861571-05,2012-09-26 18:59:27-05,2015-10-28 23:34:00-05,2012-05-15 19:00:00-05,2019-03-14 02:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1801,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,,12.425,,,,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:57-05,2019-04-18 18:59:20.359547-05,,,2012-10-27 19:00:00-05,2018-06-25 04:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,,yes,,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,yes,,,,,,,,yes,,,,,,,,,
1852,yes,Town Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,,2008,1240.0,620.0,620.0,0.0,,,yes, ,yes, , ,yes,,,,2012-04-11 18:58:55-05,2015-01-04 06:57:48-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,South;West,7.8,4.68,3.12,,2011-02-01,,2008,3023.0,1473.0,1550.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:00-05,2019-04-18 12:53:05.691613-05,,,2013-11-13 18:00:00-06,2019-02-25 02:59:00-06,yes,yes,yes,yes,yes,,,,yes,yes,,,,,,yes,yes,,,,yes,yes,yes,,,yes,yes,,,,,,yes,,,yes,yes,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,yes,,,,,yes,,,
2129,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South;West,6.25,4.0,2.25,,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:58:37-05,2018-04-16 23:39:13-05,2015-09-28 15:49:00-05,2017-09-01 13:53:00-05,2012-05-15 19:00:00-05,2019-02-25 02:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,yes,,,,,,,,,,
2233,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,South,6.25,6.25,0.0,,2011-02-01,,2008,3245.0,1779.0,1466.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-12 07:30:15-05,2019-04-18 18:22:58.736895-05,,,2012-05-02 19:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,yes,,,
2335,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,South;West,5.92,4.44,1.48,,2011-02-01,,2008,2710.0,1508.0,1202.0,0.0,,,yes,yes,yes, , ,yes,,,,2012-04-11 18:59:40-05,2019-04-18 18:47:31.19765-05,,,2012-05-26 00:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,yes,yes,,,,,,yes,yes,,,,,,yes,,,
2337,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,South,4.995,4.995,0.0,,2011-02-01,,2008,1439.0,1439.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:51:27-05,2017-01-08 10:23:48-06,,,2012-05-11 19:00:00-05,2019-02-25 02:59:00-06,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,yes,Town Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,,2008,1748.0,1010.0,738.0,0.0,,,yes, ,yes, ,yes,yes,,,,2012-04-11 18:59:51-05,2013-05-10 16:29:16-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,South,8.175,8.175,,,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes,yes, ,yes,,,,2012-04-11 18:59:51-05,2019-04-18 18:20:11.068175-05,2015-08-21 08:58:00-05,2018-01-08 23:59:00-06,2014-04-22 00:00:00-05,2018-06-30 23:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
2638,yes,Town Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,South,4.655,4.655,0.0,,2011-02-01,,2008,1970.0,1013.0,957.0,0.0,0.0,0.0,yes, ,yes,yes, ,yes,,,,2012-04-12 09:52:15-05,2019-04-18 18:56:19.471542-05,2015-08-20 14:11:15.844351-05,2019-04-04 18:59:00-05,2012-05-11 07:57:00-05,2019-02-25 02:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,,,,,,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:50-05,2019-03-31 08:50:23.920684-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
